CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,ADDRESS,CITY,STATE,ZIP_CODE,COUNTRY,DATE_OF_BIRTH
760,Raj,Singh,raj.singh@example.com,,,Ahmedabad,Uttar Pradesh,X119941,India,2000
1539,Priya,Patel,priya.patel@example.com,,,Hyderabad,Uttar Pradesh,X159938,India,1968
4243,Isha,Mehta,isha.mehta@example.com,,,Delhi,Rajasthan,X588287,India,1978
11112,Neha,Kumar,neha.kumar@example.com,,,Chennai,Tamil Nadu,X287884,India,1995
13800,Priya,Kumar,priya.kumar@example.com,,,Mumbai,Karnataka,X394458,India,1977
15755,Raj,Kumar,raj.kumar@example.com,,,Chennai,Maharashtra,X541720,India,1983
17709,Deepa,Gupta,deepa.gupta@example.com,,,Delhi,Uttar Pradesh,X561118,India,1998
20806,Priya,Singh,priya.singh@example.com,,,Mumbai,Gujarat,X789623,India,2000
24060,Neha,Gupta,neha.gupta@example.com,,,Chennai,Gujarat,X845723,India,1986
30330,Neha,Khan,neha.khan@example.com,,,Pune,Tamil Nadu,X540769,India,1989
36560,Deepa,Kumar,deepa.kumar@example.com,,,Ahmedabad,Maharashtra,X552488,India,1976
43707,Deepa,Patel,deepa.patel@example.com,,,Lucknow,Gujarat,X853340,India,1959
43855,Sanjay,Shah,sanjay.shah@example.com,,,Jaipur,Maharashtra,X397264,India,1987
44037,Sanjay,Shah,sanjay.shah@example.com,,,Pune,Maharashtra,X160692,India,1957
45143,Sanjay,Sharma,sanjay.sharma@example.com,,,Bangalore,West Bengal,X162778,India,1962
47720,Sanjay,Khan,sanjay.khan@example.com,,,Bangalore,Gujarat,X478324,India,1992
51974,Isha,Jain,isha.jain@example.com,,,Kolkata,Rajasthan,X875471,India,1951
54679,Vikram,Khan,vikram.khan@example.com,,,Kolkata,West Bengal,X174314,India,1969
58397,Sanjay,Kumar,sanjay.kumar@example.com,,,Bangalore,Tamil Nadu,X357476,India,1990
60241,Sita,Gupta,sita.gupta@example.com,,,Bangalore,Rajasthan,X181823,India,1995
61728,Priya,Shah,priya.shah@example.com,,,Hyderabad,Telangana,X778960,India,1954
65106,Amit,Shah,amit.shah@example.com,,,Chennai,Uttar Pradesh,X869589,India,1953
67460,Amit,Kumar,amit.kumar@example.com,,,Mumbai,Maharashtra,X334408,India,1987
68292,Deepa,Mehta,deepa.mehta@example.com,,,Bangalore,Maharashtra,X455973,India,1960
76506,Sanjay,Sharma,sanjay.sharma@example.com,,,Jaipur,Telangana,X754492,India,1950
79114,Vikram,Khan,vikram.khan@example.com,,,Mumbai,Maharashtra,X955404,India,2003
80721,Sanjay,Khan,sanjay.khan@example.com,,,Mumbai,Tamil Nadu,X553413,India,1966
86075,Sanjay,Singh,sanjay.singh@example.com,,,Jaipur,Uttar Pradesh,X662656,India,1954
91104,Raj,Jain,raj.jain@example.com,,,Bangalore,West Bengal,X970037,India,1984
92722,Priya,Gupta,priya.gupta@example.com,,,Lucknow,Uttar Pradesh,X554075,India,1953
92956,Vikram,Patel,vikram.patel@example.com,,,Delhi,Telangana,X729036,India,1991
96026,Sita,Singh,sita.singh@example.com,,,Chennai,Delhi,X874440,India,1979
102781,Sita,Patel,sita.patel@example.com,,,Mumbai,Uttar Pradesh,X773346,India,1957
106101,Vikram,Shah,vikram.shah@example.com,,,Delhi,Gujarat,X337685,India,1977
108158,Sita,Gupta,sita.gupta@example.com,,,Mumbai,Telangana,X625407,India,2002
108601,Isha,Kumar,isha.kumar@example.com,,,Jaipur,Gujarat,X190638,India,2003
109837,Amit,Gupta,amit.gupta@example.com,,,Mumbai,Gujarat,X793917,India,1978
110147,Deepa,Khan,deepa.khan@example.com,,,Kolkata,Uttar Pradesh,X954259,India,1973
114908,Sanjay,Patel,sanjay.patel@example.com,,,Hyderabad,Uttar Pradesh,X630942,India,1988
116385,Sanjay,Patel,sanjay.patel@example.com,,,Pune,West Bengal,X507000,India,1981
119762,Sita,Kumar,sita.kumar@example.com,,,Chennai,Delhi,X552685,India,1954
126792,Neha,Mehta,neha.mehta@example.com,,,Pune,Tamil Nadu,X638889,India,1978
128535,Raj,Shah,raj.shah@example.com,,,Lucknow,Delhi,X892067,India,1954
128982,Raj,Shah,raj.shah@example.com,,,Hyderabad,Uttar Pradesh,X419139,India,1979
133520,Isha,Gupta,isha.gupta@example.com,,,Lucknow,West Bengal,X273753,India,1973
138299,Neha,Patel,neha.patel@example.com,,,Chennai,Delhi,X525987,India,1981
138840,Isha,Sharma,isha.sharma@example.com,,,Hyderabad,Gujarat,X823163,India,2000
141099,Sanjay,Khan,sanjay.khan@example.com,,,Pune,Rajasthan,X240813,India,1951
143893,Sita,Khan,sita.khan@example.com,,,Jaipur,Telangana,X102853,India,1958
145484,Deepa,Kumar,deepa.kumar@example.com,,,Ahmedabad,Maharashtra,X484938,India,2000
145868,Raj,Sharma,raj.sharma@example.com,,,Mumbai,Uttar Pradesh,X420168,India,2003
149760,Vikram,Khan,vikram.khan@example.com,,,Delhi,West Bengal,X693374,India,1977
152435,Raj,Kumar,raj.kumar@example.com,,,Pune,Rajasthan,X599248,India,1956
158588,Isha,Gupta,isha.gupta@example.com,,,Kolkata,Delhi,X549423,India,1984
165327,Raj,Gupta,raj.gupta@example.com,,,Jaipur,West Bengal,X305351,India,1968
165398,Priya,Jain,priya.jain@example.com,,,Mumbai,Tamil Nadu,X587043,India,1969
180559,Sita,Reddy,sita.reddy@example.com,,,Mumbai,Delhi,X981587,India,1976
181606,Isha,Singh,isha.singh@example.com,,,Pune,Delhi,X222659,India,1961
187714,Sita,Shah,sita.shah@example.com,,,Chennai,Telangana,X207716,India,1995
193908,Sita,Singh,sita.singh@example.com,,,Bangalore,Rajasthan,X842126,India,1965
200967,Priya,Reddy,priya.reddy@example.com,,,Bangalore,Telangana,X544022,India,1956
202209,Priya,Mehta,priya.mehta@example.com,,,Delhi,Karnataka,X417055,India,1971
206253,Sita,Shah,sita.shah@example.com,,,Chennai,West Bengal,X982230,India,1989
213437,Vikram,Gupta,vikram.gupta@example.com,,,Lucknow,West Bengal,X469453,India,1996
217252,Raj,Khan,raj.khan@example.com,,,Chennai,West Bengal,X989920,India,1983
218071,Deepa,Mehta,deepa.mehta@example.com,,,Kolkata,Uttar Pradesh,X243363,India,1965
221673,Priya,Sharma,priya.sharma@example.com,,,Bangalore,Telangana,X909454,India,1945
231972,Neha,Mehta,neha.mehta@example.com,,,Kolkata,Telangana,X251714,India,2000
232390,Sita,Khan,sita.khan@example.com,,,Ahmedabad,Gujarat,X949039,India,1962
233274,Raj,Reddy,raj.reddy@example.com,,,Ahmedabad,Maharashtra,X495063,India,1945
235608,Isha,Gupta,isha.gupta@example.com,,,Delhi,Rajasthan,X488034,India,2001
238963,Priya,Kumar,priya.kumar@example.com,,,Lucknow,Karnataka,X362084,India,1968
245954,Raj,Sharma,raj.sharma@example.com,,,Hyderabad,Maharashtra,X988349,India,1975
246156,Amit,Patel,amit.patel@example.com,,,Bangalore,West Bengal,X674891,India,1996
246500,Raj,Shah,raj.shah@example.com,,,Chennai,Rajasthan,X235230,India,1984
246727,Neha,Reddy,neha.reddy@example.com,,,Delhi,Gujarat,X709563,India,1949
250244,Amit,Shah,amit.shah@example.com,,,Jaipur,Gujarat,X390538,India,1945
253647,Sanjay,Gupta,sanjay.gupta@example.com,,,Kolkata,West Bengal,X361085,India,1984
253675,Sanjay,Mehta,sanjay.mehta@example.com,,,Kolkata,Delhi,X140149,India,1983
253729,Sanjay,Singh,sanjay.singh@example.com,,,Chennai,Karnataka,X116838,India,1992
257619,Sita,Sharma,sita.sharma@example.com,,,Kolkata,Uttar Pradesh,X329810,India,1963
259585,Isha,Jain,isha.jain@example.com,,,Pune,Uttar Pradesh,X829462,India,1959
261660,Deepa,Khan,deepa.khan@example.com,,,Ahmedabad,Gujarat,X165638,India,1963
270118,Priya,Sharma,priya.sharma@example.com,,,Bangalore,West Bengal,X200330,India,1971
274073,Sanjay,Kumar,sanjay.kumar@example.com,,,Ahmedabad,Gujarat,X183521,India,1982
275419,Anil,Mehta,anil.mehta@example.com,,,Chennai,West Bengal,X794820,India,1944
279132,Priya,Khan,priya.khan@example.com,,,Pune,Maharashtra,X843784,India,1995
287520,Raj,Shah,raj.shah@example.com,,,Delhi,Telangana,X162146,India,1980
289126,Neha,Sharma,neha.sharma@example.com,,,Ahmedabad,Delhi,X624434,India,1998
290878,Sanjay,Mehta,sanjay.mehta@example.com,,,Chennai,Delhi,X749467,India,1988
291101,Anil,Shah,anil.shah@example.com,,,Hyderabad,Delhi,X483703,India,1989
297724,Raj,Jain,raj.jain@example.com,,,Lucknow,Karnataka,X515367,India,1982
298155,Amit,Patel,amit.patel@example.com,,,Ahmedabad,Uttar Pradesh,X573354,India,1974
303566,Sita,Khan,sita.khan@example.com,,,Chennai,Tamil Nadu,X354055,India,2003
306730,Deepa,Mehta,deepa.mehta@example.com,,,Lucknow,Gujarat,X283097,India,1968
311351,Amit,Khan,amit.khan@example.com,,,Bangalore,Tamil Nadu,X359717,India,2000
311571,Sanjay,Gupta,sanjay.gupta@example.com,,,Kolkata,Gujarat,X180263,India,1967
313499,Sita,Patel,sita.patel@example.com,,,Delhi,West Bengal,X697684,India,1973
316399,Neha,Khan,neha.khan@example.com,,,Delhi,Uttar Pradesh,X165711,India,1949
316510,Priya,Sharma,priya.sharma@example.com,,,Delhi,Tamil Nadu,X504871,India,1963
317417,Sanjay,Singh,sanjay.singh@example.com,,,Pune,Telangana,X233001,India,1946
319858,Raj,Mehta,raj.mehta@example.com,,,Ahmedabad,Telangana,X982982,India,1976
320541,Anil,Mehta,anil.mehta@example.com,,,Pune,Gujarat,X659244,India,1945
328893,Deepa,Singh,deepa.singh@example.com,,,Jaipur,Telangana,X388351,India,2003
329804,Raj,Jain,raj.jain@example.com,,,Ahmedabad,Rajasthan,X759763,India,1967
334665,Priya,Shah,priya.shah@example.com,,,Delhi,Uttar Pradesh,X746812,India,1998
335610,Deepa,Khan,deepa.khan@example.com,,,Bangalore,Rajasthan,X894748,India,1983
338656,Vikram,Kumar,vikram.kumar@example.com,,,Bangalore,Karnataka,X568668,India,1982
341128,Vikram,Kumar,vikram.kumar@example.com,,,Kolkata,Rajasthan,X263073,India,2001
342811,Vikram,Khan,vikram.khan@example.com,,,Pune,Rajasthan,X731820,India,1977
353027,Anil,Patel,anil.patel@example.com,,,Bangalore,Karnataka,X879599,India,1993
356004,Raj,Sharma,raj.sharma@example.com,,,Kolkata,West Bengal,X196696,India,1978
360197,Amit,Kumar,amit.kumar@example.com,,,Ahmedabad,Maharashtra,X187469,India,1955
365371,Priya,Sharma,priya.sharma@example.com,,,Mumbai,Gujarat,X255579,India,1957
377755,Neha,Mehta,neha.mehta@example.com,,,Delhi,Gujarat,X893293,India,1993
379792,Priya,Reddy,priya.reddy@example.com,,,Lucknow,Gujarat,X408840,India,1951
383763,Raj,Kumar,raj.kumar@example.com,,,Bangalore,Uttar Pradesh,X340739,India,1945
385840,Deepa,Gupta,deepa.gupta@example.com,,,Mumbai,Maharashtra,X811423,India,2002
386779,Isha,Reddy,isha.reddy@example.com,,,Jaipur,Telangana,X159117,India,1982
387700,Amit,Reddy,amit.reddy@example.com,,,Jaipur,Uttar Pradesh,X186923,India,1987
392070,Anil,Khan,anil.khan@example.com,,,Ahmedabad,West Bengal,X750222,India,1986
394509,Isha,Sharma,isha.sharma@example.com,,,Pune,West Bengal,X244818,India,1970
400416,Amit,Jain,amit.jain@example.com,,,Kolkata,Karnataka,X196500,India,1999
404679,Neha,Mehta,neha.mehta@example.com,,,Ahmedabad,Telangana,X856362,India,1973
407336,Raj,Gupta,raj.gupta@example.com,,,Hyderabad,Gujarat,X341569,India,1983
